,age,fund,salary,salary_scale,contribution
0,0.0,0.0,0.0,0.0,0.0
1,0.5,-0.5,0.5,-0.5,0.5
2,-0.5,0.5,-0.5,0.5,-0.5
3,-0.25,-0.25,0.25,-0.75,0.75
4,0.75,0.75,-0.75,0.25,-0.25
5,0.25,-0.75,-0.25,-0.25,-0.75
6,-0.75,0.25,0.75,0.75,0.25
7,-0.625,-0.375,-0.375,0.375,0.125
8,0.375,0.625,0.625,-0.625,-0.875
9,0.875,-0.875,0.125,0.875,-0.375
10,-0.125,0.125,-0.875,-0.125,0.625
11,-0.375,-0.625,0.875,0.125,-0.125
12,0.625,0.375,-0.125,-0.875,0.875
13,0.125,-0.125,-0.625,0.625,0.375
14,-0.875,0.875,0.375,-0.375,-0.625
15,-0.8125,-0.0625,0.6875,-0.1875,-0.4375
16,0.1875,0.9375,-0.3125,0.8125,0.5625
17,0.6875,-0.5625,-0.8125,-0.6875,0.0625
18,-0.3125,0.4375,0.1875,0.3125,-0.9375
19,-0.0625,-0.8125,-0.0625,-0.4375,0.3125
20,0.9375,0.1875,0.9375,0.5625,-0.6875
21,0.4375,-0.3125,0.4375,-0.9375,-0.1875
22,-0.5625,0.6875,-0.5625,0.0625,0.8125
23,-0.6875,-0.6875,0.0625,0.6875,0.6875
24,0.3125,0.3125,-0.9375,-0.3125,-0.3125
25,0.8125,-0.1875,-0.4375,0.1875,-0.8125
26,-0.1875,0.8125,0.5625,-0.8125,0.1875
27,-0.4375,-0.4375,-0.6875,0.9375,-0.5625
28,0.5625,0.5625,0.3125,-0.0625,0.4375
29,0.0625,-0.9375,0.8125,0.4375,0.9375
30,-0.9375,0.0625,-0.1875,-0.5625,-0.0625
31,-0.90625,-0.46875,0.21875,0.15625,0.40625
32,0.09375,0.53125,-0.78125,-0.84375,-0.59375
33,0.59375,-0.96875,-0.28125,0.65625,-0.09375
34,-0.40625,0.03125,0.71875,-0.34375,0.90625
35,-0.15625,-0.71875,-0.53125,0.40625,-0.34375
36,0.84375,0.28125,0.46875,-0.59375,0.65625
37,0.34375,-0.21875,0.96875,0.90625,0.15625
38,-0.65625,0.78125,-0.03125,-0.09375,-0.84375
39,-0.53125,-0.84375,0.59375,-0.71875,-0.71875
40,0.46875,0.15625,-0.40625,0.28125,0.28125
41,0.96875,-0.34375,-0.90625,-0.21875,0.78125
42,-0.03125,0.65625,0.09375,0.78125,-0.21875
43,-0.28125,-0.09375,-0.15625,-0.96875,0.53125
44,0.71875,0.90625,0.84375,0.03125,-0.46875
45,0.21875,-0.59375,0.34375,-0.46875,-0.96875
46,-0.78125,0.40625,-0.65625,0.53125,0.03125
47,-0.84375,-0.53125,-0.46875,0.96875,0.96875
48,0.15625,0.46875,0.53125,-0.03125,-0.03125
49,0.65625,-0.03125,0.03125,0.46875,-0.53125
50,-0.34375,0.96875,-0.96875,-0.53125,0.46875
51,-0.09375,-0.28125,0.78125,0.71875,-0.78125
52,0.90625,0.71875,-0.21875,-0.28125,0.21875
53,0.40625,-0.78125,-0.71875,0.21875,0.71875
54,-0.59375,0.21875,0.28125,-0.78125,-0.28125
55,-0.71875,-0.15625,-0.84375,-0.40625,-0.15625
56,0.28125,0.84375,0.15625,0.59375,0.84375
57,0.78125,-0.65625,0.65625,-0.90625,0.34375
58,-0.21875,0.34375,-0.34375,0.09375,-0.65625
59,-0.46875,-0.90625,0.40625,-0.15625,0.09375
60,0.53125,0.09375,-0.59375,0.84375,-0.90625
61,0.03125,-0.40625,-0.09375,-0.65625,-0.40625
62,-0.96875,0.59375,0.90625,0.34375,0.59375
63,-0.953125,-0.203125,-0.109375,0.609375,-0.578125
64,0.046875,0.796875,0.890625,-0.390625,0.421875
65,0.546875,-0.703125,0.390625,0.109375,0.921875
66,-0.453125,0.296875,-0.609375,-0.890625,-0.078125
67,-0.203125,-0.953125,0.640625,0.859375,0.671875
68,0.796875,0.046875,-0.359375,-0.140625,-0.328125
69,0.296875,-0.453125,-0.859375,0.359375,-0.828125
70,-0.703125,0.546875,0.140625,-0.640625,0.171875
71,-0.578125,-0.578125,-0.734375,-0.015625,0.296875
72,0.421875,0.421875,0.265625,0.984375,-0.703125
73,0.921875,-0.078125,0.765625,-0.515625,-0.203125
74,-0.078125,0.921875,-0.234375,0.484375,0.796875
75,-0.328125,-0.328125,0.015625,-0.265625,-0.453125
76,0.671875,0.671875,-0.984375,0.734375,0.546875
77,0.171875,-0.828125,-0.484375,-0.765625,0.046875
78,-0.828125,0.171875,0.515625,0.234375,-0.953125
79,-0.765625,-0.765625,0.328125,0.296875,-0.015625
80,0.234375,0.234375,-0.671875,-0.703125,0.984375
81,0.734375,-0.265625,-0.171875,0.796875,0.484375
82,-0.265625,0.734375,0.828125,-0.203125,-0.515625
83,-0.015625,-0.015625,-0.921875,0.046875,0.234375
84,0.984375,0.984375,0.078125,-0.953125,-0.765625
85,0.484375,-0.515625,0.578125,0.546875,-0.265625
86,-0.515625,0.484375,-0.421875,-0.453125,0.734375
87,-0.640625,-0.390625,0.953125,-0.828125,0.859375
88,0.359375,0.609375,-0.046875,0.171875,-0.140625
89,0.859375,-0.890625,-0.546875,-0.328125,-0.640625
90,-0.140625,0.109375,0.453125,0.671875,0.359375
91,-0.390625,-0.640625,-0.296875,-0.578125,-0.890625
92,0.609375,0.359375,0.703125,0.421875,0.109375
93,0.109375,-0.140625,0.203125,-0.078125,0.609375
94,-0.890625,0.859375,-0.796875,0.921875,-0.390625
95,-0.921875,-0.734375,0.859375,-0.296875,0.015625
96,0.078125,0.265625,-0.140625,0.703125,-0.984375
97,0.578125,-0.234375,-0.640625,-0.796875,-0.484375
98,-0.421875,0.765625,0.359375,0.203125,0.515625
99,-0.171875,-0.484375,-0.390625,-0.046875,-0.234375
100,0.828125,0.515625,0.609375,0.953125,0.765625
101,0.328125,-0.984375,0.109375,-0.546875,0.265625
102,-0.671875,0.015625,-0.890625,0.453125,-0.734375
103,-0.546875,-0.109375,0.484375,0.828125,-0.859375
104,0.453125,0.890625,-0.515625,-0.171875,0.140625
105,0.953125,-0.609375,-0.015625,0.328125,0.640625
106,-0.046875,0.390625,0.984375,-0.671875,-0.359375
107,-0.296875,-0.859375,-0.765625,0.578125,0.890625
108,0.703125,0.140625,0.234375,-0.421875,-0.109375
109,0.203125,-0.359375,0.734375,0.078125,-0.609375
110,-0.796875,0.640625,-0.265625,-0.921875,0.390625
111,-0.859375,-0.296875,-0.578125,-0.609375,0.578125
112,0.140625,0.703125,0.421875,0.390625,-0.421875
113,0.640625,-0.796875,0.921875,-0.109375,-0.921875
114,-0.359375,0.203125,-0.078125,0.890625,0.078125
115,-0.109375,-0.546875,0.171875,-0.859375,-0.671875
116,0.890625,0.453125,-0.828125,0.140625,0.328125
117,0.390625,-0.046875,-0.328125,-0.359375,0.828125
118,-0.609375,0.953125,0.671875,0.640625,-0.171875
119,-0.734375,-0.921875,-0.203125,0.015625,-0.296875
120,0.265625,0.078125,0.796875,-0.984375,0.703125
121,0.765625,-0.421875,0.296875,0.515625,0.203125
