,age,sum_ins,duration,age_of_contract,interest_rate
0,52.0,105943.0,11.0,4.0,0.0125
1,59.0,273429.0,14.0,9.0,0.0225
2,58.0,155500.0,14.0,5.0,0.0125
3,74.0,328237.0,14.0,10.0,0.0225
4,69.0,264992.0,16.0,9.0,0.0225
5,63.0,248399.0,11.0,2.0,0.009
6,66.0,57826.0,13.0,4.0,0.0125
7,52.0,121385.0,14.0,8.0,0.0175
8,66.0,155112.0,14.0,12.0,0.0225
9,70.0,137391.0,17.0,11.0,0.0225
10,69.0,145083.0,12.0,8.0,0.0175
11,52.0,165786.0,18.0,14.0,0.0275
12,50.0,119694.0,16.0,6.0,0.0175
13,64.0,132820.0,15.0,6.0,0.0175
14,56.0,62019.0,11.0,2.0,0.009
15,43.0,195541.0,11.0,0.0,0.009
16,62.0,120678.0,18.0,12.0,0.0225
17,69.0,67907.0,9.0,2.0,0.009
18,80.0,71262.0,13.0,9.0,0.0225
19,55.0,68022.0,17.0,10.0,0.0225
20,55.0,116806.0,10.0,4.0,0.0125
21,55.0,16128.0,13.0,8.0,0.0175
22,71.0,202767.0,13.0,5.0,0.0125
23,53.0,86167.0,17.0,7.0,0.0175
24,43.0,65604.0,11.0,3.0,0.009
25,47.0,192107.0,13.0,7.0,0.0175
26,68.0,146022.0,15.0,1.0,0.009
27,45.0,165124.0,12.0,8.0,0.0175
28,40.0,240036.0,13.0,2.0,0.009
29,55.0,186598.0,20.0,14.0,0.0275
30,39.0,81905.0,16.0,0.0,0.009
31,56.0,126394.0,12.0,5.0,0.0125
32,57.0,365009.0,21.0,12.0,0.0225
33,72.0,83095.0,14.0,12.0,0.0225
34,59.0,36683.0,14.0,5.0,0.0125
35,74.0,353962.0,14.0,8.0,0.0175
36,54.0,30169.0,18.0,2.0,0.009
37,74.0,21650.0,16.0,13.0,0.0225
38,73.0,76680.0,10.0,8.0,0.0175
39,40.0,60710.0,14.0,2.0,0.009
40,59.0,98584.0,12.0,9.0,0.0225
41,56.0,97739.0,16.0,1.0,0.009
