,age,sum_ins,duration,age_of_contract,interest_rate
10649,74.0,338857.0,20.0,11.0,0.0299139404296875
17483,42.0,313278.0,37.0,3.0,0.022432556152343748
71011,47.0,353788.0,25.0,4.0,0.009363784790039064
67344,50.0,845362.0,27.0,0.0,0.01619361877441406
4115,46.0,377454.0,3.0,1.0,-0.009517822265625
70976,47.0,993773.0,6.0,0.0,0.02577003479003906
89704,61.0,889049.0,8.0,6.0,0.017510452270507813
31732,85.0,854790.0,26.0,21.0,0.0051931762695312505
65774,40.0,972675.0,13.0,10.0,-0.0022878265380859375
75069,47.0,408238.0,5.0,1.0,0.027903213500976562
96630,36.0,939353.0,9.0,3.0,0.039602127075195316
81641,90.0,331533.0,31.0,24.0,0.03418373107910156
72785,72.0,413543.0,22.0,10.0,0.0011728668212890626
18540,80.0,641807.0,26.0,19.0,0.00821136474609375
69588,69.0,855849.0,8.0,3.0,0.012763442993164063
47238,36.0,797947.0,16.0,6.0,0.029109039306640626
92767,26.0,437292.0,23.0,0.0,0.017989578247070315
80337,72.0,403238.0,39.0,11.0,-0.0032918548583984377
19032,54.0,720829.0,6.0,1.0,0.022127380371093748
43857,72.0,127841.0,24.0,11.0,0.0016249084472656251
56392,56.0,802855.0,17.0,1.0,0.03931564331054688
71724,69.0,640367.0,33.0,8.0,0.008667984008789062
85270,56.0,555765.0,27.0,21.0,0.011168899536132813
27741,63.0,485165.0,28.0,15.0,0.007347717285156251
26994,45.0,593942.0,7.0,6.0,0.006786193847656252
14873,67.0,267030.0,9.0,4.0,-0.0033807373046875
16494,63.0,704976.0,39.0,34.0,0.030367126464843748
50719,52.0,340793.0,35.0,25.0,0.012429656982421875
12033,62.0,46669.0,28.0,6.0,-0.0047784423828124995
82904,59.0,739907.0,9.0,6.0,0.025756301879882815
83396,79.0,834051.0,24.0,17.0,0.03823188781738281
77052,87.0,705548.0,34.0,30.0,0.0034769439697265626
53244,82.0,515179.0,32.0,26.0,-0.007309112548828125
39201,61.0,28270.0,13.0,3.0,0.020457305908203126
19082,49.0,701318.0,29.0,5.0,0.01138519287109375
17164,63.0,912776.0,8.0,4.0,0.02680267333984375
76310,42.0,951883.0,36.0,8.0,0.02005409240722656
90507,39.0,279491.0,7.0,1.0,0.010531082153320314
76563,45.0,298241.0,2.0,0.0,-0.0075826263427734375
33703,61.0,171072.0,27.0,26.0,0.021317901611328127
82100,78.0,565277.0,33.0,12.0,0.013012161254882812
87324,86.0,711249.0,34.0,28.0,0.028582229614257812
901,64.0,292700.0,14.0,13.0,0.010263671875
93368,76.0,831917.0,27.0,24.0,0.03681282043457031
15942,37.0,540681.0,10.0,5.0,1.2817382812500486e-05
60997,54.0,254759.0,9.0,1.0,0.02243026733398437
93492,71.0,806551.0,9.0,6.0,0.0019495391845703123
49361,70.0,220308.0,14.0,9.0,0.013088836669921876
56926,32.0,833098.0,21.0,4.0,0.012118377685546878
15169,72.0,460196.0,18.0,14.0,-0.0048455810546875
24557,63.0,90479.0,19.0,13.0,0.011122741699218753
79551,36.0,316655.0,14.0,10.0,0.006730117797851562
56977,62.0,337500.0,12.0,0.0,0.027548065185546873
82154,45.0,994535.0,13.0,1.0,0.02668403625488281
57236,68.0,538471.0,4.0,2.0,0.02549728393554687
20551,37.0,157551.0,39.0,3.0,0.012038269042968753
72136,74.0,794509.0,38.0,19.0,0.021070327758789066
91565,57.0,138519.0,27.0,6.0,0.015340652465820314
60617,71.0,392316.0,14.0,5.0,0.003338470458984376
42226,45.0,744167.0,39.0,7.0,0.01645645141601563
7718,32.0,922075.0,5.0,0.0,0.018912353515625
18809,62.0,15481.0,10.0,0.0,0.008894958496093753
12816,68.0,517999.0,29.0,17.0,0.0217291259765625
22658,43.0,856802.0,32.0,7.0,0.02481903076171875
71345,66.0,58186.0,16.0,6.0,0.014002456665039064
76347,50.0,155805.0,17.0,14.0,0.03958534240722656
3296,80.0,778298.0,37.0,33.0,0.026364746093750002
6275,45.0,114777.0,23.0,4.0,0.011661376953125002
91588,68.0,567777.0,14.0,5.0,0.031356277465820315
99236,65.0,892357.0,2.0,1.0,0.024794235229492187
53476,66.0,860658.0,22.0,2.0,0.015060272216796877
83461,55.0,101386.0,24.0,4.0,0.028905715942382816
45121,66.0,310885.0,15.0,9.0,0.026460113525390627
58992,49.0,552556.0,3.0,0.0,0.023126068115234377
6956,62.0,890368.0,37.0,1.0,0.017569580078125
57133,67.0,440913.0,23.0,17.0,0.03663009643554688
46587,51.0,287959.0,24.0,15.0,0.029170074462890626
90374,57.0,509729.0,39.0,27.0,0.030257644653320315
97632,57.0,781796.0,12.0,9.0,-0.008176193237304688
42462,31.0,710997.0,10.0,4.0,0.019483795166015623
5790,37.0,521353.0,13.0,10.0,0.033084716796875004
94241,65.0,132300.0,25.0,7.0,0.009902420043945313
90483,49.0,96081.0,22.0,5.0,0.0033045196533203133
67753,83.0,183183.0,21.0,16.0,-0.003178939819335937
